user_id,sound_id,times
383358222972616705,41,3
383358222972616705,42,134
383358222972616705,43,1
383358222972616705,45,2
383358222972616705,48,3
383358222972616705,49,5
383358222972616705,50,4
383358222972616705,51,1
383358222972616705,52,3
383358222972616705,53,1
383358222972616705,54,2
383358222972616705,55,2
383358222972616705,56,15
383358222972616705,57,1
383358222972616705,59,1
383358222972616705,61,8
383358222972616705,62,6
383358222972616705,63,5
383358222972616705,65,7
383358222972616705,66,8
383358222972616705,67,2
383358222972616705,68,2
383358222972616705,69,1
383358222972616705,70,1
383358222972616705,71,38
383358222972616705,72,5
383358222972616705,73,4
383358222972616705,77,1
383358222972616705,78,1
383358222972616705,79,2
383358222972616705,80,1
383358222972616705,81,3
383358222972616705,82,1
383358222972616705,83,24
383358222972616705,84,4
383358222972616705,85,6
383358222972616705,88,3
383358222972616705,89,17
383358222972616705,90,4
383358222972616705,91,3
383358222972616705,92,21
383358222972616705,93,1
383358222972616705,95,72
383358222972616705,96,4
383358222972616705,97,1
383358222972616705,98,4
383358222972616705,99,8
383358222972616705,100,2
383358222972616705,101,5
383358222972616705,102,4
383358222972616705,103,1
383358222972616705,104,6
383358222972616705,105,6
383358222972616705,106,6
383358222972616705,107,1
383358222972616705,108,1
383358222972616705,109,1
383358222972616705,110,2
383358222972616705,111,3
383358222972616705,113,2
383358222972616705,114,7
383358222972616705,116,1
383358222972616705,117,8
383358222972616705,118,8
383358222972616705,119,1
383358222972616705,120,9
383358222972616705,121,1
383358222972616705,122,3
383358222972616705,123,3
383358222972616705,124,2
383358222972616705,125,3
383358222972616705,126,3
383358222972616705,127,2
383358222972616705,135,11
383358222972616705,136,12
383358222972616705,137,11
383358222972616705,138,15
383358222972616705,139,5
383358222972616705,140,10
383358222972616705,141,1
383358222972616705,150,8
383358222972616705,151,16
383358222972616705,152,25
383358222972616705,153,7
383358222972616705,154,5
383358222972616705,155,21
383358222972616705,156,3
383358222972616705,157,61
383358222972616705,158,34
383358222972616705,159,8
383358222972616705,160,2
383358222972616705,161,2
383358222972616705,162,15
383358222972616705,163,21
383358222972616705,164,22
383358222972616705,165,2
383358222972616705,166,2
383358222972616705,168,8
383358222972616705,169,14
383358222972616705,171,5
383358222972616705,172,1
383358222972616705,173,4
383358222972616705,174,3
383358222972616705,175,2
383358222972616705,176,3
383358222972616705,177,2
383358222972616705,178,13
383358222972616705,179,32
431324611968368652,1,1
431324611968368652,2,1
431324611968368652,3,1
431324611968368652,4,1
431324611968368652,8,2
431324611968368652,14,5
431324611968368652,18,31
431324611968368652,25,1
431324611968368652,27,3
431324611968368652,29,14
431324611968368652,30,208
431324611968368652,32,1
431324611968368652,34,1
431324611968368652,35,2
431324611968368652,39,1
431324611968368652,40,1
431324611968368652,46,1
431324611968368652,51,1
431324611968368652,57,2
431324611968368652,59,1
431324611968368652,61,1
431324611968368652,71,1
431324611968368652,73,1
431324611968368652,83,1
431324611968368652,94,1
431324611968368652,95,1
431324611968368652,100,12
431324611968368652,101,2
431324611968368652,108,2
431324611968368652,109,1
431324611968368652,110,1
431324611968368652,111,1
431324611968368652,119,1
431324611968368652,121,4
431324611968368652,124,1
431324611968368652,126,2
431324611968368652,136,1
431324611968368652,137,1
431324611968368652,140,1
431324611968368652,152,5
431324611968368652,153,1
431324611968368652,158,3
431324611968368652,159,1
431324611968368652,164,15
431324611968368652,170,4
440489230968553472,1,89
440489230968553472,2,9
440489230968553472,3,6
440489230968553472,12,1
440489230968553472,15,1
440489230968553472,18,1
440489230968553472,19,2
440489230968553472,20,3
440489230968553472,22,2
440489230968553472,24,1
440489230968553472,25,2
440489230968553472,28,1
440489230968553472,29,1
440489230968553472,30,3
440489230968553472,31,3
440489230968553472,33,1
440489230968553472,34,1
440489230968553472,35,28
440489230968553472,39,7
440489230968553472,41,8
440489230968553472,42,14
440489230968553472,45,1
440489230968553472,47,1
440489230968553472,48,1
440489230968553472,49,1
440489230968553472,50,1
440489230968553472,51,2
440489230968553472,52,1
440489230968553472,54,1
440489230968553472,56,2
440489230968553472,59,3
440489230968553472,61,4
440489230968553472,62,1
440489230968553472,63,3
