user_id,guild_id,exp,level,messages
753202023654096937,474935164451946506,16,0,1
754068604529672302,474935164451946506,19,0,1
755831979735384076,474935164451946506,23,0,1
756084838699761704,474935164451946506,110,1,5
756251154928631848,1114239502874054756,139,1,7
762342487616389150,474935164451946506,61,0,3
763714624994148353,474935164451946506,23,0,1
767054614565879850,474935164451946506,24,0,1
771024864152518666,474935164451946506,42,0,2
776458515073204264,474935164451946506,60,0,3
777285056405438474,474935164451946506,42,0,2
778259048809627649,983324272627974144,18,1,1
791798216291123200,474935164451946506,112,1,5
792105133977763851,474935164451946506,430,2,20
796345604552654859,474935164451946506,81,0,4
798987039268667393,474935164451946506,106,1,6
799902139148664873,474935164451946506,333,2,17
812326974860034098,676530982169608192,23,1,1
815169564925100032,474935164451946506,41,0,2
815958265480871946,474935164451946506,18,0,1
821848512152076298,1114239502874054756,17,1,1
827278656451248168,474935164451946506,18,0,1
830841274466172938,474935164451946506,15,0,1
836297850622967881,474935164451946506,19,0,1
840976383416729611,474935164451946506,21,0,1
852956459003543653,474935164451946506,73,0,4
857323723845533728,983324272627974144,43,1,2
873711789077061633,474935164451946506,21,0,1
885630581147336715,474935164451946506,16,0,1
892005033342824538,474935164451946506,61,0,3
892425782746574871,474935164451946506,33,0,2
894647713315057684,474935164451946506,91,0,5
905190611471175760,697504135309820025,24,1,1
916430084791996507,474935164451946506,392,2,20
930887271618609173,1081177064146751529,65,1,3
930887271618609173,474935164451946506,390,2,19
930887271618609173,608967318789160970,967,4,42
935232669724336129,474935164451946506,339,2,17
936876439989547039,474935164451946506,364,2,19
938730525240217630,1019529045387522098,23,1,1
938730525240217630,474935164451946506,41,0,2
965796281840717834,474935164451946506,21,0,1
